RunNum,GCD,LiveTime
119030,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119030_1129_1_20_GCD_update_rde.i3.zst,25219.59
119040,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119040_1201_1_20_GCD_update_rde.i3.zst,9862.24
119090,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119090_1208_1_20_GCD_update_rde.i3.zst,6958.8
119100,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119100_1209_1_20_GCD_update_rde.i3.zst,2922.09
119110,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119110_1210_4_20_GCD_update_rde.i3.zst,28799.95
119120,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119120_1211_1_20_GCD_update_rde.i3.zst,28800.25
119150,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119150_1219_1_20_GCD_update_rde.i3.zst,13592.83
119160,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119160_1221_1_20_GCD_update_rde.i3.zst,994.5
119170,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119170_1223_1_20_GCD_update_rde.i3.zst,6777.61
119180,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119180_1226_4_20_GCD_update_rde.i3.zst,28800.31
119190,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119190_1227_1_20_GCD_update_rde.i3.zst,28800.0
119210,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119210_1230_2_20_GCD_update_rde.i3.zst,1393.05
119310,/data/user/tvaneede/GlobalFit/reco_processing/GCD/burn/output//Level2pass2_IC86.2011_data_Run00119310_0102_2_20_GCD_update_rde.i3.zst,1200.18
